"","State","Region.Name","ASGC.2008.Code","X2006","X2007","X2008","X2009"
"403","Qld","Bowen Hills",305011067,1.13431449689023,1.22866157507821,1.37180009562877,1.34200036556071
"404","Qld","City - Inner",305011143,1.14656400891486,1.14461442010962,1.17307234027253,1.24588645715731
"405","Qld","City - Remainder",305011146,1.14695134526347,1.14592145723215,1.17263658688035,1.24583977726008
"406","Qld","Dutton Park",305011187,0.90343782459976,0.942700524626896,0.954372554441339,0.966553952113122
"407","Qld","Fortitude Valley",305011227,1.14561987656514,1.24112510763951,1.39942201898867,1.37311251706672
"408","Qld","Herston",305011274,1.15973344476744,1.24847719145376,1.39709800089704,1.38240181661615
"409","Qld","Highgate Hill",305011277,1.06890307101953,1.14470777990409,1.1639941446021,1.12664265967479
"410","Qld","Kangaroo Point",305011304,1.24673887207288,1.31728335997567,1.28600509441272,1.2660521727621
"411","Qld","Kelvin Grove",305011315,1.09458831263641,1.12736619808191,1.18541868638432,1.29644078586099
"412","Qld","Milton",305011378,1.27109264499143,1.36788436857659,1.39453189758753,1.42730787775461
"413","Qld","New Farm",305011421,1.38891552053276,1.45515243645428,1.54544782241282,1.50685042264018
"414","Qld","Newstead",305011427,1.29464753669098,1.36548035386907,1.481876244198,1.43274608578229
"415","Qld","Paddington",305011454,1.271141062035,1.36774432888489,1.39421718680429,1.42630425996409
"416","Qld","Red Hill",305011481,1.10473168326551,1.14188364612147,1.19609464449275,1.30309267121674
"417","Qld","South Brisbane",305011525,1.07606879346872,1.15278340212545,1.17408909818762,1.13406476333489
"418","Qld","Spring Hill",305011528,1.15738521815402,1.15738137200293,1.17389543001332,1.21096989402679
"419","Qld","West End",305011607,1.07643192129554,1.15325020109779,1.1739196385351,1.13425148292382
"420","Qld","Woolloongabba",305011631,0.903413616077972,0.943003943958912,0.954953558964247,0.966320552626955
"421","Qld","Albion",305031004,1.23553032648511,1.29620738637483,1.31955810561065,1.25921356781742
"422","Qld","Alderley",305031007,1.10611156900741,1.18555268998324,1.29651159286864,1.30283593178196
"423","Qld","Ascot",305031026,1.88184944117641,1.99292819253074,2.09076898420532,1.9813749179655
"424","Qld","Ashgrove",305031031,1.22952661308173,1.2793559434736,1.38610733200537,1.40865925880989
"425","Qld","Bardon",305031048,1.36964553718965,1.45039108693648,1.53961356866196,1.57320589655735
"426","Qld","Chelmer",305031132,1.29324344242728,1.35264338212991,1.39349093115066,1.3971760040905
"427","Qld","Clayfield",305031151,1.4250104265184,1.48726820575081,1.52758193333341,1.53754245507109
"428","Qld","Corinda",305031162,1.11393092154488,1.15068280674995,1.24383384945834,1.23564021971459
"429","Qld","Enoggera",305031206,1.10589369231132,1.18564604977771,1.29634213321612,1.30306933126813
"430","Qld","Graceville",305031241,1.11407617267561,1.15063612685272,1.24354334719688,1.23547684007428
"431","Qld","Grange",305031244,1.10589369231132,1.18599614900696,1.29622109060719,1.30285927173058
"432","Qld","Hamilton",305031255,1.88238202865574,1.99320827191414,2.09110790351035,1.98060469966115
"433","Qld","Hendra",305031271,1.42440521347371,1.48785170446622,1.52777560150771,1.53714567594461
"434","Qld","Indooroopilly",305031293,1.29326765094907,1.35266672207853,1.39295834367133,1.3971760040905
"435","Qld","Kedron",305031312,1.00482311384716,1.04824377227143,1.12557522052482,1.16428999679347
"436","Qld","Lutwyche",305031345,1.10497376848339,1.16809440841798,1.24574632267957,1.31060813467131
"437","Qld","Newmarket",305031424,1.10572423265881,1.18590278921249,1.29631792469434,1.30278925188473
"438","Qld","Nundah",305031446,0.970519638473817,1.01339722898676,1.09930897438503,1.12246480887241
"439","Qld","St Lucia",305031506,1.22611321150965,1.23739071586084,1.35625822464099,1.2731941970388
"440","Qld","Sherwood",305031522,1.11402775563203,1.15040272736655,1.24376122389297,1.23580359935491
"441","Qld","Stafford",305031533,0.946988955296053,0.97397605577322,1.04939100245854,1.05048440733863
"442","Qld","Stafford Heights",305031536,0.946795287121751,0.973999395721837,1.04912470871888,1.05053108723586
"443","Qld","Taringa",305031558,1.29314660834013,1.35255002233544,1.39305517775848,1.39729270383358
"444","Qld","Toowong",305031574,1.11255103580297,1.23024869158415,1.27721740100374,1.27620505041035
"445","Qld","Wilston",305031618,1.10570002413702,1.18587944926388,1.29617267356361,1.30344277044599
"446","Qld","Windsor",305031623,1.10492535143981,1.16849118754446,1.24664203798572,1.31088821405471
"447","Qld","Wooloowin",305031634,1.10468326622193,1.16846784759585,1.2458915738103,1.31074817436301
"448","Qld","Anstead",305071018,1.10783037405435,1.11452922634275,1.21437207844256,1.22805473641418
"449","Qld","Aspley",305071034,0.905907093822118,0.937168956804747,0.995890169307456,0.98438567285625
"450","Qld","Bald Hills",305071037,0.862355963125825,0.887408186354028,0.974368793438081,0.990944198417532
"451","Qld","Banyo",305071045,0.892229279011998,0.920644273184152,1.00007824357675,1.03106557008957
"452","Qld","Bellbowrie",305071053,1.10790299961971,1.11471594593168,1.21415420174647,1.22803139646556
"453","Qld","Boondall",305071064,0.906003927909269,0.937285656547831,0.995890169307456,0.984362332907634
"454","Qld","Bracken Ridge",305071072,0.878478838636515,0.921017712362019,0.979815710840341,0.993184833484731
"455","Qld","Bridgeman Downs",305071075,1.08967398271348,1.16788434888043,1.23519140718008,1.17617003063935
"456","Qld","Brighton",305071078,0.878551464201878,0.920994372413402,0.979694668231402,0.993278193279198
"457","Qld","Brookfield (incl. Brisbane Forest Park)",305071084,1.41208307588371,1.53294448519361,1.59270285694265,1.6150310844784
"458","Qld","Carseldine",305071121,0.905979719387482,0.937145616856131,0.995696501133153,0.984362332907634
