"ASGC.2008.Code","Jun 2004","Jun 2005","Jun 2006","Jun 2007","Jun 2008","Jun 2009","Jun 2010"
"205105063",-1.47121522673922,-0.707031917209023,-0.230244118025035,-0.0403149466924689,0.996449984624238,0.815813730004364,0.829236155424955
"205105065",-1.35488416598514,-0.625469835757003,0.216338667722532,0.348934142520614,1.54928268230809,-0.0648786454782151,-0.217054222729794
"205204651",0.093980841704356,0.453429557284884,0.573633811577866,0.113202161583605,1.09193668157464,-1.39813555106376,-1.73714818494611
"205204654",0.338010883797256,0.776357405508411,0.787776269330882,-0.0888044388853088,0.541971959665567,-1.15243070589524,-1.71922641581877
"205207261",-0.0254965530465943,0.568123136545676,0.999949893473284,-0.242628191883372,0.850169546239699,-1.07611204103189,-1.68341398501308
"205207264",0.194397119591249,0.491615370252561,0.712747697044976,0.130294258841366,0.74795740987644,-1.42463234383001,-1.84766712659888
"205207267",0.669875290425194,0.723231795398772,0.773871034496636,-0.373744637505324,0.0195403156723102,-0.805187309971558,-1.94311421828125
"205255251",-0.467513795585076,-1.43761250975035,-0.4566311555478,0.562819821839026,0.785301790179432,1.28740164472259,-0.240370487902537
"205255252",-0.336211609526155,-1.36700975324353,-0.405550602230903,0.67801723411071,0.822628945041411,1.24636191829337,-0.609588230720794
"205255253",0,-1.06779933339413,-0.200635196999838,0.814152009715656,0.819974505635848,0.991675575992104,-1.38368206533371
"205300661",-1.36866059830781,-1.16061375008317,0.258206410078878,1.04729649362384,0.455236367315526,0.510165987816654,0.286217001388137
"205300662",-1.26204965577252,-1.25885826215313,0.116938255563143,0.922699075973185,0.646427001272032,0.724839271000004,0.127835001985033
"205301891",-1.37688090934129,-1.1103123780442,-0.222922487228047,0.5197979737402,0.634126746720636,0.779832112497246,0.846674954308371
"205301892",-1.24541018312146,-1.30155530661774,-0.154788474986477,0.561623732241489,0.431106454161491,0.805118790807832,0.859444217918008
"205353271",0.519901748314481,-0.66005109479392,-0.076792165049729,0.839360476878041,0.659822917899238,0.435767898193319,-1.93813364503971
"205353274",0.822349533821476,-0.332508688573447,-0.215244646358505,0.534935893589868,0.0522415502708888,0.93611891087575,-1.98423269089242
"205353275",0.748870435010959,-0.875669687803566,-0.430780618797167,0.328137612321671,0.177146483497663,1.44769839894131,-1.40758697417158
"205405713",-1.12429379551014,-1.46556978303929,0.239001925302501,0.901979935700885,0.559759740317976,0.624852639955911,0.26054889565371
"205405715",-1.13376770766266,-1.13614774510836,0.456101276276488,0.984701848521762,-0.0763259045831245,1.11678119097414,-0.086092349079754
"205405718",-1.03418932805523,0,0,1.51053425082233,0.509935603531195,-1.16310449803882,0
"205407071",0.100610509295453,-0.272707815669397,-0.01925692763512,0.126716735107247,-1.65114584214455,1.78718145530312,0.421075687905889
"205407075",-1.09600319187583,-1.10038660044878,-0.356974513979372,0.209177332049447,0.2078607151102,1.23713861518872,1.09703594893234
"205407076",-0.580843598349088,-0.577105367306404,0.40844229305171,1.14490007779123,1.14908399937497,-0.894033365716935,-0.891193684239509
"205451111",0.256643150094691,0.254134927872072,-0.807305550421221,0.249265650454508,1.2784332960625,0.273233861212942,-1.63776866310079
"205451112",-0.0291039135534654,-0.0290512890762419,-1.6736640442117,-0.0295398434228328,0.997646236529493,1.10556157907232,-0.2595386230042
"205451113",-0.914243314265963,-0.34425906171378,-1.08017952027802,0.391490113942257,1.48562974434895,0.636600139952804,-0.172507615550564
"205451114",-0.703801386146326,-0.473757836548611,-0.909494555580771,0.190824500309851,1.71563197868483,0.454380162203433,-0.279560539213932
