"","State","Region.Name","ASGC.2008.Code","X2006","X2007","X2008","X2009"
"200","Vic","Melbourne (C) - Inner",205054601,1.32789108753368,1.32777149947379,1.32178222661892,1.23304007600094
"201","Vic","Melbourne (C) - S'bank-D'lands",205054605,1.38274195684423,1.52411386140267,1.61977607065054,1.61254324742742
"202","Vic","Melbourne (C) - Remainder",205054608,1.27182875635395,1.33166319590588,1.36946742785225,1.39345329215997
"203","Vic","Port Phillip (C) - St Kilda",205055901,1.29899643316472,1.3913944592088,1.42047770527968,1.42865431408124
"204","Vic","Port Phillip (C) - West",205055902,1.73911795265611,1.82964969290044,1.85330467777159,1.87923743776099
"205","Vic","Stonnington (C) - Prahran",205056351,1.96622838944899,2.15650197775852,2.17547620761772,2.0661644050961
"206","Vic","Yarra (C) - North",205057351,1.25528070273677,1.31376139231825,1.35224920383935,1.37693241311276
"207","Vic","Yarra (C) - Richmond",205057352,1.26803971603974,1.33811587966748,1.42385433304269,1.45956191606774
"208","Vic","Brimbank (C) - Keilor",205101181,0.903054608221409,0.911108904050543,0.979170499703579,0.992508128778603
"209","Vic","Brimbank (C) - Sunshine",205101182,0.836578860123706,0.847084220812864,0.911689496012308,0.916682817650058
"210","Vic","Hobsons Bay (C) - Altona",205103111,0.929887199834324,0.960470679440847,1.01657116294118,1.01897166451684
"211","Vic","Hobsons Bay (C) - Williamstown",205103112,1.23651593165684,1.28087028053732,1.34454224428866,1.38225524952311
"212","Vic","Maribyrnong (C)",205104330,0.947930248949637,0.969132842467122,1.05000235537341,1.07179830511766
"213","Vic","Moonee Valley (C) - Essendon",205105063,1.16148262312159,1.21044312897588,1.2833505320033,1.3016845795193
"214","Vic","Moonee Valley (C) - West",205105065,0.961282105294968,0.993637976129856,1.07340676765441,1.15867101256957
"215","Vic","Melton (S) - East",205204651,0.916458016135641,0.926525043465419,1.00175008688217,1.01249387303633
"216","Vic","Melton (S) Bal",205204654,0.889161460402618,0.897676274430089,0.958962284694428,0.96506539200261
"217","Vic","Wyndham (C) - North",205207261,0.968112688174337,0.983770642595579,1.04595555721469,1.0585163218107
"218","Vic","Wyndham (C) - South",205207264,0.999224060006026,1.03554275900189,1.09356343109466,1.12168734260521
"219","Vic","Wyndham (C) - West",205207267,0.97927360284138,1.01003331658249,1.06899910851339,1.08392533335444
"220","Vic","Moreland (C) - Brunswick",205255251,0.990305638586172,1.01819332523043,1.08879491097133,1.12577990078864
"221","Vic","Moreland (C) - Coburg",205255252,0.937387953109404,0.966195239353863,1.03572257078786,1.05954573828629
"222","Vic","Moreland (C) - North",205255253,0.85181234873392,0.8717400007891,0.928108670707243,0.935639145432195
"223","Vic","Banyule (C) - Heidelberg",205300661,1.14253742155051,1.21099549879205,1.22883474789061,1.25882570332843
"224","Vic","Banyule (C) - North",205300662,1.00687946798781,1.01309645829033,1.07763399630429,1.10237950675824
"225","Vic","Darebin (C) - Northcote",205301891,1.05990025660238,1.10182713694208,1.19174339406641,1.23032844235793
"226","Vic","Darebin (C) - Preston",205301892,0.86104007956718,0.878468869458785,0.944940257953385,0.957608399484339
"227","Vic","Hume (C) - Broadmeadows",205353271,0.805235506231962,0.807238270892003,0.872613406785431,0.853336042823132
"228","Vic","Hume (C) - Craigieburn",205353274,0.919499558700794,0.932400249691936,0.980768598339506,0.989645848822095
"229","Vic","Hume (C) - Sunbury",205353275,0.97347405134003,0.98999735688693,1.04422857965651,1.0703671651394
